LoadFactor,Chaining,LinearProbing,DoubleHashing
0.1,1,1,1
0.2,2,1,2
0.3,2,1,2
0.4,3,1,2
0.5,2,1,2
0.6,2,1,2
0.7,3,1,2
0.8,2,1,2
