TextLength,BruteForce,Sunday,KMP,FSM,RabinKarp,GusfieldZ
1000,12.3956,2.4822,14.7335,229.682,14.5573,25.9605
5000,25.9262,6.33335,64.0871,331.824,69.1355,111.877
10000,60.0837,10.6195,103.928,383.931,128.32,228.541
20000,115.212,30.6616,257.906,453.13,272.428,539.167
30000,163.53,28.7204,521.725,454.221,360.204,701.108
